Supported versions of AFS,UIDEXT_AFS
Why ORA-01031: insufficient privileges error appeared for Oracle extractor,UIDEXT_ORACLE
How does extractor take instance for oracle,UIDEXT_ORACLE
When using the _I:<server list> parameter,UIDEXT_parameter
Privileges needed to run DB2 extractor,UIDEXT_Previleges_DB2
Privileges needed to run citrix extractor,UIDEXT_Previleges_run_Citrix_extractor
How to find different queue managers name in MQ,UIDEXT_queue_managers_MQ
Roles of AFS extracted,UIDEXT_roles_of_AFS
Roles of Informix extracted,UIDEXT_Roles_of_Informix
How to run the UID script with labelling file? Which Sub Systems are supporting labelling file,UIDEXT_Run_UID_Script
Areas covered by UIDEXT,UIDEXT_Scope
How to run serverStatus.sh script,UIDEXT_serverstatus_script
why does error SizeLimit appears while running extractor,UIDEXT_Sizelimit
Why double re-validation is passing: ID's on OS level are selected for re-validation both when OS is re-validated AND when the Subsystem is re-validated,UIDEXT_subsystem_re-validation
Supported formats of output,UIDEXT_supported_format
What are the supported  wintel OS,UIDEXT_Supported_OS
What are the supported unix OS,UIDEXT_Supported_OS
Supported versions of Citrix,UIDEXT_Supported_Version_Citrix
Supported versions of DB2,UIDEXT_Supportedversion_DB2
why does Sybase script fail due to failing while getting connected to ASE through isql due to Adaptive Server requires encryption of the login password on the network error How to resolve it,UIDEXT_Sybase
Do we extract user info for temporary queue in MQ,UIDEXT_temporary_queue_MQ
How to check temporary queue in MQ,UIDEXT_temporary_queue_MQ
Do we have test environment for UIDEXT,UIDEXT_Test_Environment
what does error port connect is getting timed out means,UIDEXT_times_out
The TSCM collector error: Login failed for user 'NT AUTHORITY\SYSTEM'. How to resolve,UIDEXT_TSM
What are the different TSM version supported by TSM extractor,UIDEXT_TSM_different_version
what are the different system generated TSM error,UIDEXT_TSM_error
what are the different TSM roles present,UIDEXT_TSM_roles_present
How we can find name of the TSM servers,UIDEXT_TSM_servers
How we can find user that can modify AIX RADIUS server configuration,UIDEXT_User_AIX_RADIUS
Tech team used interim fixed version - therefore validation Tool shows that is invalid version.,UIDEXT_validation_invalid
The WAS script executed with return code 0 but nothing produced. Why,UIDEXT_WAS
What does error ADMN0022E:Credential insufficient or blank  means in WAS,UIDEXT_WAS_ADMN0022E_Credential
When does WAS script throws error as Cannot connect to profile,UIDEXT_WAS_Cannot_connect_to_profile
what is uid extractor,UIDEXT_What
uid,UIDEXT_What
uidext,UIDEXT_What
UIDEXT stands for,UIDEXT_What
Need for UIDEXT,UIDEXT_Why
Why do we need UIDEXT,UIDEXT_Why
Why is Global Windows OS Extractor not starting execution,UIDEXT_Windows_OS_execution
What are the prerequisites to run the wintel extractor,UIDEXT_wintel_os_Prerequisites
Supported versions of wintel,UIDEXT_wintel_os_Version
